Partition,ID,Text,V_pred,A_pred,Word_Count
1,0,The sun hung low and bright over the coastal town as the summer festival kicked off its first evening.,0.5647194,0.28712472,19
2,1,"For Lucy, summer didn’t truly begin until the carnival lights flickered on, until the smell of kettle corn and sea salt blended together in the warm air.",0.72737116,0.46322098,27
2,2,She had waited months for this.,0.8304224,0.58052033,6
3,3,It was her favorite week of the year.,0.92449963,0.6987815,8
3,4,"She rushed through the entrance with a burst of giddy energy, nearly tripping over her own sandals. “Come on, Theo!” she called to her younger brother, who jogged behind her, laughing.",0.9155713,0.6936248,31
4,5,Music pulsed from the Ferris wheel speakers.,0.7710268,0.48994312,7
4,6,Children ran with cotton candy taller than their heads.,0.78156227,0.557899,9
4,7,Performers on stilts waved as they passed.,0.8169561,0.5666174,7
4,8,Everything shimmered with color and possibility. “First ride?” Theo asked. “Pirate Ship!” Lucy said without hesitation.,0.74385476,0.6062954,16
5,9,"The ship swung high over the festival tents, the ocean coming into view at the peak of each arc.",0.52159154,0.33109918,19
5,10,"Lucy screamed with delight, her stomach flipping in that uniquely carnival way.",0.95599777,0.7848689,12
5,11,"Theo shouted something unintelligible, equal parts exhilaration and terror.",0.7635396,0.7224124,9
6,12,"They spent hours bouncing from ride to ride: bumper cars, the spinning teacups, the ridiculous funhouse mirrors.",0.6919265,0.4806218,17
6,13,"When they finally sat down to eat, they piled the table with fried dough, cheesy fries, and frozen lemonade.",0.721777,0.46849516,19
7,14,"Lucy grinned so hard her cheeks hurt. “Can this last forever?” she asked. “No way,” Theo said, stuffing a fry into his mouth. “But it can last all night.” Lucy liked the idea.",0.876661,0.6961227,33
8,15,"She wanted the sparkling lights and wild motion and laughter to stretch into something permanent, a bubble of joy untouched by reality.",0.8950565,0.6940673,22
8,16,"But even bubbles, she knew, eventually popped.",0.46184653,0.21729676,7
9,17,The first crack came when the fireworks started.,0.46723208,0.25335684,8
9,18,"They burst in spectacular blooms across the sky—reds, greens, dazzling golds.",0.8511237,0.6070587,11
9,19,The crowd gasped and applauded.,0.97017765,0.7445807,5
9,20,Lucy felt her chest swell with happiness so bright she could hardly contain it.,0.98352075,0.7490768,14
