Partition,ID,Text,V_pred,A_pred,Word_Count
1,1,The house had grown too quiet.,0.25206906,0.31581318,6
1,2,"Ever since the accident, the silence pressed against Mara’s ears like cold hands.",0.102824636,0.34650972,13
1,3,It wasn’t the ordinary quiet of an empty home—it was a silence that seemed to swallow every attempt she made to distract herself.,0.08622427,0.35488722,23
2,4,The creak of the floorboards sounded hollow.,0.11693888,0.34606302,7
2,5,The hum of the heater carried a kind of loneliness.,0.09357724,0.3039531,10
2,6,"Even the old wooden clock, whose ticking once comforted her, now felt like a countdown to nothing in particular.",0.043790124,0.2795806,19
3,7,"Her husband, Eli, had loved that clock.",0.14300552,0.31752294,7
3,8,"He’d bought it at a flea market on their first anniversary, grinning like he had found buried treasure.",0.5594651,0.44532177,18
3,9,"“It’s got character,” he had said.",0.6861772,0.566676,6
3,10,“A voice.”,0.65991306,0.52111596,2
3,11,“A heartbeat.”,0.56612545,0.4866304,2
